SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004221800E+6	+03.268200E+2	+01.600000E+0	+01.080000E+0	-02.826855E-2	+07.550800E+1	0
+05.004221800E+6	+03.268400E+2	+01.600000E+0	+01.100000E+0	-02.826855E-2	+07.657900E+1	0
+05.004221800E+6	+03.268600E+2	+01.600000E+0	+01.120000E+0	-02.826855E-2	+07.766300E+1	0
+05.004221900E+6	+03.268700E+2	+01.700000E+0	+01.130000E+0	-03.003534E-2	+07.873600E+1	0
+05.004221900E+6	+03.268900E+2	+01.700000E+0	+01.150000E+0	-03.003534E-2	+07.981100E+1	0
+05.004221800E+6	+03.268800E+2	+01.600000E+0	+01.140000E+0	-02.826855E-2	+08.088300E+1	0
+05.004221800E+6	+03.269000E+2	+01.600000E+0	+01.160000E+0	-02.826855E-2	+08.196100E+1	0
+05.004221800E+6	+03.269000E+2	+01.600000E+0	+01.160000E+0	-02.826855E-2	+08.303000E+1	0
+05.004221600E+6	+03.268500E+2	+01.400000E+0	+01.110000E+0	-02.473498E-2	+08.411600E+1	0
+05.004221600E+6	+03.268000E+2	+01.400000E+0	+01.060000E+0	-02.473498E-2	+08.518800E+1	0
+05.004221600E+6	+03.267900E+2	+01.400000E+0	+01.050000E+0	-02.473498E-2	+08.625400E+1	0
+05.004221700E+6	+03.267700E+2	+01.500000E+0	+01.030000E+0	-02.650177E-2	+08.733200E+1	0
+05.004221800E+6	+03.267700E+2	+01.600000E+0	+01.030000E+0	-02.826855E-2	+08.840800E+1	0
+05.004221900E+6	+03.267700E+2	+01.700000E+0	+01.030000E+0	-03.003534E-2	+08.947200E+1	0
+05.004222100E+6	+03.268000E+2	+01.900000E+0	+01.060000E+0	-03.356890E-2	+09.055700E+1	0
+05.004222200E+6	+03.268200E+2	+02.000000E+0	+01.080000E+0	-03.533569E-2	+09.162800E+1	0
