,E(V),i(A)
0,-0.2000427,-7.089233e-07
1,-0.1976013,-6.652832e-07
2,-0.1951599,-6.118775e-07
3,-0.1927185,-5.941773e-07
4,-0.1902771,-5.487061e-07
5,-0.1878357,-5.334473e-07
6,-0.1853943,-5.117798e-07
7,-0.1829529,-4.821777e-07
8,-0.1805115,-4.693603e-07
9,-0.1780701,-4.299927e-07
10,-0.1756287,-4.241943e-07
11,-0.1731873,-3.898621e-07
12,-0.1707458,-3.866577e-07
13,-0.1683044,-3.651428e-07
14,-0.165863,-3.509521e-07
15,-0.1634216,-3.406372e-07
16,-0.1609802,-3.230286e-07
17,-0.1585388,-3.158569e-07
18,-0.1560974,-2.882385e-07
19,-0.153656,-2.940674e-07
20,-0.1512146,-2.711792e-07
21,-0.1487732,-2.715759e-07
22,-0.1463318,-2.534485e-07
23,-0.1438904,-2.429809e-07
24,-0.141449,-2.384033e-07
25,-0.1390076,-2.193909e-07
26,-0.1365662,-2.238464e-07
27,-0.1341248,-1.960754e-07
28,-0.1316833,-2.055359e-07
29,-0.1292419,-1.827393e-07
30,-0.1268005,-1.86554e-07
31,-0.1243591,-1.713257e-07
32,-0.1219177,-1.626892e-07
33,-0.1194763,-1.665344e-07
34,-0.1170349,-1.471863e-07
35,-0.1145935,-1.524353e-07
36,-0.1121521,-1.304627e-07
37,-0.1097107,-1.403198e-07
38,-0.1072693,-1.234436e-07
39,-0.1048279,-1.225281e-07
40,-0.1023865,-1.133423e-07
41,-0.09994507,-1.044617e-07
42,-0.09750366,-1.04248e-07
43,-0.09506226,-8.862305e-08
44,-0.09262085,-9.899902e-08
45,-0.09017944,-7.873535e-08
46,-0.08773804,-8.654785e-08
47,-0.08529663,-7.357788e-08
48,-0.08285522,-6.689453e-08
49,-0.08041382,-6.799316e-08
50,-0.07797241,-5.722046e-08
51,-0.07553101,-5.715942e-08
52,-0.0730896,-3.909302e-08
53,-0.07064819,-5.26123e-08
54,-0.06820679,-3.201294e-08
55,-0.06576538,-4.052734e-08
56,-0.06332397,-2.737427e-08
57,-0.06088257,-2.713013e-08
