,E(V),i(A)
190,0.1368713,7.940674e-08
191,0.1344299,6.588745e-08
192,0.1319885,7.672119e-08
193,0.1295471,5.407715e-08
194,0.1271057,6.195069e-08
195,0.1246643,4.541016e-08
196,0.1222229,5.078125e-08
197,0.1197815,4.013062e-08
198,0.1173401,3.256226e-08
199,0.1148987,3.640747e-08
200,0.1124573,2.096558e-08
201,0.1100159,2.770996e-08
202,0.1075745,1.086426e-08
203,0.1051331,-2.807617e-09
204,0.1026917,-1.913452e-08
205,0.1002502,-1.626587e-08
206,0.09780884,-2.380371e-08
207,0.09536743,-3.436279e-08
208,0.09292603,-3.469849e-08
209,0.09048462,-4.86145e-08
210,0.08804321,-3.918457e-08
211,0.08560181,-5.563355e-08
212,0.0831604,-5.239868e-08
213,0.08071899,-7.01294e-08
214,0.07827759,-7.03125e-08
215,0.07583618,-7.629394e-08
216,0.07339478,-8.374023e-08
217,0.07095337,-7.965088e-08
218,0.06851196,-9.91211e-08
219,0.06607056,-9.32312e-08
220,0.06362915,-1.135864e-07
221,0.06118774,-1.066284e-07
222,0.05874634,-1.190491e-07
223,0.05630493,-1.241455e-07
224,0.05386353,-1.283264e-07
225,0.05142212,-1.39679e-07
226,0.04898071,-1.362305e-07
227,0.04653931,-1.581116e-07
228,0.0440979,-1.491394e-07
229,0.04165649,-1.693115e-07
230,0.03921509,-1.701965e-07
231,0.03677368,-1.828613e-07
232,0.03433228,-1.881103e-07
233,0.03189087,-1.913757e-07
234,0.02944946,-2.048645e-07
235,0.02700806,-1.986389e-07
236,0.02456665,-2.219849e-07
237,0.02212524,-2.184753e-07
238,0.01968384,-2.344055e-07
239,0.01724243,-2.37793e-07
240,0.01480103,-2.479858e-07
241,0.01235962,-2.550659e-07
242,0.009918213,-2.540893e-07
243,0.007476807,-2.749329e-07
244,0.0050354,-2.705688e-07
245,0.002593994,-2.893677e-07
246,0.0001525879,-2.869263e-07
247,-0.002288818,-3.008118e-07
248,-0.004730225,-2.80304e-07
249,-0.007171631,-2.85614e-07
250,-0.009613037,-3.003845e-07
251,-0.01205444,-2.932434e-07
252,-0.01449585,-3.111877e-07
253,-0.01693726,-3.046265e-07
254,-0.01937866,-3.258057e-07
255,-0.02182007,-3.212891e-07
256,-0.02426147,-3.284912e-07
257,-0.02670288,-3.334961e-07
258,-0.02914429,-3.343811e-07
259,-0.03158569,-3.47168e-07
260,-0.0340271,-3.390503e-07
261,-0.03646851,-3.580017e-07
262,-0.03890991,-3.517151e-07
263,-0.04135132,-3.678284e-07
264,-0.04379272,-3.602905e-07
265,-0.04623413,-3.636475e-07
266,-0.04867554,-3.66272e-07
267,-0.05111694,-3.656921e-07
268,-0.05355835,-3.763428e-07
269,-0.05599976,-3.695679e-07
270,-0.05844116,-3.837891e-07
271,-0.06088257,-3.743591e-07
272,-0.06332397,-3.872681e-07
273,-0.06576538,-3.833923e-07
274,-0.06820679,-3.85437e-07
275,-0.07064819,-3.884888e-07
276,-0.0730896,-3.834839e-07
277,-0.07553101,-3.955689e-07
278,-0.07797241,-3.850098e-07
279,-0.08041382,-3.997803e-07
280,-0.08285522,-3.872681e-07
281,-0.08529663,-4.013062e-07
282,-0.08773804,-3.930664e-07
283,-0.09017944,-3.991699e-07
284,-0.09262085,-4.003906e-07
285,-0.09506226,-3.95813e-07
286,-0.09750366,-4.10553e-07
287,-0.09994507,-3.978577e-07
288,-0.1023865,-4.144287e-07
289,-0.1048279,-4.064941e-07
290,-0.1072693,-4.125976e-07
291,-0.1097107,-4.11377e-07
292,-0.1121521,-4.122925e-07
293,-0.1145935,-4.217529e-07
294,-0.1170349,-4.162598e-07
295,-0.1194763,-4.3396e-07
296,-0.1219177,-4.214478e-07
297,-0.1243591,-4.425049e-07
298,-0.1268005,-4.327393e-07
299,-0.1292419,-4.467773e-07
300,-0.1316833,-4.467773e-07
301,-0.1341248,-4.437256e-07
302,-0.1365662,-4.626465e-07
303,-0.1390076,-4.534912e-07
304,-0.141449,-4.809571e-07
305,-0.1438904,-4.669189e-07
306,-0.1463318,-4.876709e-07
307,-0.1487732,-4.870606e-07
308,-0.1512146,-4.943848e-07
309,-0.153656,-5.041504e-07
310,-0.1560974,-5.026245e-07
311,-0.1585388,-5.221557e-07
312,-0.1609802,-5.206299e-07
313,-0.1634216,-5.401611e-07
314,-0.165863,-5.352783e-07
315,-0.1683044,-5.535888e-07
316,-0.1707458,-5.618286e-07
317,-0.1731873,-5.685425e-07
318,-0.1756287,-5.844116e-07
319,-0.1780701,-5.883789e-07
320,-0.1805115,-6.161499e-07
321,-0.1829529,-6.118775e-07
322,-0.1853943,-6.384277e-07
323,-0.1878357,-6.375122e-07
324,-0.1902771,-6.613159e-07
325,-0.1927185,-6.738281e-07
326,-0.1951599,-6.814575e-07
327,-0.1976013,-7.058716e-07
