,E(V),i(A)
190,0.1368713,7.943726e-08
191,0.1344299,7.424926e-08
192,0.1319885,6.726074e-08
193,0.1295471,7.080078e-08
194,0.1271057,5.532837e-08
195,0.1246643,6.411743e-08
196,0.1222229,4.217529e-08
197,0.1197815,4.934692e-08
198,0.1173401,3.625488e-08
199,0.1148987,3.607178e-08
200,0.1124573,3.45459e-08
201,0.1100159,2.294922e-08
202,0.1075745,5.859375e-09
203,0.1051331,-1.596069e-08
204,0.1026917,-4.547119e-09
205,0.1002502,-2.261353e-08
206,0.09780884,-2.175903e-08
207,0.09536743,-2.981567e-08
208,0.09292603,-3.256226e-08
209,0.09048462,-3.549194e-08
210,0.08804321,-4.977417e-08
211,0.08560181,-4.315186e-08
212,0.0831604,-6.533813e-08
213,0.08071899,-5.310059e-08
214,0.07827759,-7.217407e-08
215,0.07583618,-6.845093e-08
216,0.07339478,-8.132935e-08
217,0.07095337,-8.139038e-08
218,0.06851196,-8.566284e-08
219,0.06607056,-1.007996e-07
220,0.06362915,-9.207153e-08
221,0.06118774,-1.166382e-07
222,0.05874634,-1.06842e-07
223,0.05630493,-1.256409e-07
224,0.05386353,-1.265564e-07
225,0.05142212,-1.315002e-07
226,0.04898071,-1.412048e-07
227,0.04653931,-1.432495e-07
228,0.0440979,-1.608581e-07
229,0.04165649,-1.532593e-07
230,0.03921509,-1.74469e-07
231,0.03677368,-1.695862e-07
232,0.03433228,-1.830749e-07
233,0.03189087,-1.892395e-07
234,0.02944946,-1.97937e-07
235,0.02700806,-2.097778e-07
236,0.02456665,-2.029724e-07
237,0.02212524,-2.242126e-07
238,0.01968384,-2.197876e-07
239,0.01724243,-2.409363e-07
240,0.01480103,-2.378845e-07
241,0.01235962,-2.514038e-07
242,0.009918213,-2.583923e-07
243,0.007476807,-2.624512e-07
244,0.0050354,-2.731018e-07
245,0.002593994,-2.719116e-07
246,0.0001525879,-2.912292e-07
247,-0.002288818,-2.859802e-07
248,-0.004730225,-3.026428e-07
249,-0.007171631,-2.788391e-07
250,-0.009613037,-2.886658e-07
251,-0.01205444,-2.932739e-07
252,-0.01449585,-2.95166e-07
253,-0.01693726,-3.103027e-07
254,-0.01937866,-3.009949e-07
255,-0.02182007,-3.208923e-07
256,-0.02426147,-3.101807e-07
257,-0.02670288,-3.287964e-07
258,-0.02914429,-3.24585e-07
259,-0.03158569,-3.331604e-07
260,-0.0340271,-3.375244e-07
261,-0.03646851,-3.348999e-07
262,-0.03890991,-3.486633e-07
263,-0.04135132,-3.347473e-07
264,-0.04379272,-3.565674e-07
265,-0.04623413,-3.416748e-07
266,-0.04867554,-3.5672e-07
267,-0.05111694,-3.523254e-07
268,-0.05355835,-3.547058e-07
269,-0.05599976,-3.623352e-07
270,-0.05844116,-3.540954e-07
271,-0.06088257,-3.68988e-07
272,-0.06332397,-3.564148e-07
273,-0.06576538,-3.692627e-07
274,-0.06820679,-3.604736e-07
275,-0.07064819,-3.704834e-07
276,-0.0730896,-3.661499e-07
277,-0.07553101,-3.710938e-07
278,-0.07797241,-3.753662e-07
279,-0.08041382,-3.670349e-07
280,-0.08285522,-3.787231e-07
281,-0.08529663,-3.683166e-07
282,-0.08773804,-3.823853e-07
283,-0.09017944,-3.687744e-07
284,-0.09262085,-3.788147e-07
285,-0.09506226,-3.795471e-07
286,-0.09750366,-3.797913e-07
287,-0.09994507,-3.861084e-07
288,-0.1023865,-3.742065e-07
289,-0.1048279,-3.933716e-07
290,-0.1072693,-3.769531e-07
291,-0.1097107,-3.915405e-07
292,-0.1121521,-3.869629e-07
293,-0.1145935,-3.939819e-07
294,-0.1170349,-3.897095e-07
295,-0.1194763,-3.881836e-07
296,-0.1219177,-3.997803e-07
297,-0.1243591,-3.917542e-07
298,-0.1268005,-4.095459e-07
299,-0.1292419,-3.988648e-07
300,-0.1316833,-4.11377e-07
301,-0.1341248,-4.101562e-07
302,-0.1365662,-4.220581e-07
303,-0.1390076,-4.260254e-07
304,-0.141449,-4.257202e-07
305,-0.1438904,-4.440308e-07
306,-0.1463318,-4.315185e-07
307,-0.1487732,-4.647827e-07
308,-0.1512146,-4.51355e-07
309,-0.153656,-4.699707e-07
310,-0.1560974,-4.708862e-07
311,-0.1585388,-4.818726e-07
