BindingEnergy,Scan1
31.88000000000011,796
31.940000000000055,854
32.5,823
33.11999999999989,934
33.789999999999964,881
34.33999999999992,895
34.8900000000001,832
34.930000000000064,881
35.539999999999964,858
36.180000000000064,827
36.75999999999999,829
37.309999999999945,917
37.33999999999992,833
38.0,877
38.58999999999992,841
39.180000000000064,949
39.75,846
40.3599999999999,803
40.36999999999989,882
41.00999999999999,868
41.549999999999955,769
42.1400000000001,913
42.789999999999964,893
42.76999999999998,881
43.440000000000055,858
44.00999999999999,912
44.549999999999955,849
45.180000000000064,853
45.819999999999936,938
45.77999999999997,881
46.3900000000001,889
46.960000000000036,830
47.559999999999945,849
48.22000000000003,858
48.23000000000002,847
48.789999999999964,859
49.38000000000011,848
50.00999999999999,968
50.65000000000009,860
51.24000000000001,840
51.24000000000001,900
51.799999999999955,845
52.42000000000007,838
53.049999999999955,858
53.6099999999999,929
54.22000000000003,914
54.24000000000001,879
54.819999999999936,883
55.460000000000036,852
56.059999999999945,825
56.6400000000001,855
56.65000000000009,882
57.289999999999964,876
57.90000000000009,864
58.5,896
59.08999999999992,961
59.690000000000055,877
59.700000000000045,865
60.34999999999991,945
60.92000000000007,918
61.539999999999964,883
62.1400000000001,891
62.11999999999989,811
62.819999999999936,816
63.41000000000008,889
63.98000000000002,923
64.6099999999999,925
65.20000000000005,946
65.22000000000003,874
65.83999999999992,835
66.3900000000001,905
67.00999999999999,850
67.65000000000009,898
67.63000000000011,911
68.21000000000004,868
68.80999999999995,834
69.42000000000007,938
70.07999999999993,941
70.70000000000005,888
70.66000000000008,889
71.26999999999998,839
71.88000000000011,915
72.49000000000001,896
73.1099999999999,911
73.13000000000011,925
73.67000000000007,861
74.26999999999998,916
74.95000000000005,896
75.54999999999995,919
76.1400000000001,868
76.16000000000008,848
76.75,846
77.42000000000007,899
78.0,899
78.51999999999998,919
78.56999999999994,868
79.15000000000009,890
79.79999999999995,897
80.43000000000006,849
80.98000000000002,847
81.54999999999995,936
81.55999999999995,909
82.25,863
82.80999999999995,854
83.40000000000009,838
83.98000000000002,895
83.96000000000004,935
84.6099999999999,864
85.24000000000001,922
85.75,909
86.36999999999989,883
87.01999999999998,856
87.00999999999999,860
87.63000000000011,858
88.17000000000007,954
88.76999999999998,943
89.47000000000003,956
89.47000000000003,907
90.08999999999992,789
90.63000000000011,948
91.20000000000005,951
91.86999999999989,931
92.48000000000002,908
92.45000000000005,933
93.03999999999996,896
93.59999999999991,922
94.21000000000004,977
94.88000000000011,881
94.86999999999989,923
95.43000000000006,931
96.0,852
96.69000000000005,879
97.27999999999997,944
97.81999999999994,933
97.83999999999992,930
98.40000000000009,906
99.04999999999995,969
99.73000000000002,947
100.25,883
100.79999999999995,890
100.79999999999995,844
101.46000000000004,837
102.1099999999999,935
102.67000000000007,972
103.19000000000005,915
103.21000000000004,880
103.8599999999999,904
104.48000000000002,881
105.06999999999994,885
105.63000000000011,863
106.25,989
106.25999999999999,896
106.90000000000009,873
107.45000000000005,934
108.01999999999998,932
108.70000000000005,912
108.67000000000007,973
109.31999999999994,947
109.93000000000006,891
110.46000000000004,903
111.1099999999999,863
111.74000000000001,963
111.72000000000003,954
112.33999999999992,911
112.90000000000009,910
113.48000000000002,911
114.15000000000009,945
114.16000000000008,874
114.74000000000001,926
115.29999999999995,957
115.96000000000004,901
116.56999999999994,942
117.15000000000009,901
117.15000000000009,866
117.70000000000005,921
118.32999999999993,924
118.96000000000004,854
119.52999999999997,896
119.54999999999995,911
120.1400000000001,873
120.72000000000003,937
121.38000000000011,946
121.98000000000002,966
122.50999999999999,926
122.53999999999996,971
123.11999999999989,982
123.74000000000001,911
124.36999999999989,912
124.93000000000006,895
124.91000000000008,957
125.52999999999997,948
126.16000000000008,995
126.75999999999999,1009
127.31999999999994,1017
127.93000000000006,973
127.93000000000006,991
128.6199999999999,899
129.21000000000004,990
129.75,936
130.3900000000001,919
130.3900000000001,980
131.0,979
131.6500000000001,977
132.16000000000008,996
132.75,953
133.41000000000008,899
133.3900000000001,939
134.01,999
134.57999999999993,908
135.0999999999999,902
135.69000000000005,985
135.70000000000005,883
136.27999999999997,980
136.81999999999994,984
137.3900000000001,923
137.96000000000004,943
138.58999999999992,1005
138.6300000000001,951
139.1400000000001,984
139.69000000000005,920
140.30999999999995,910
140.8900000000001,954
141.44000000000005,963
141.44000000000005,934
141.94000000000005,965
142.51999999999998,990
143.18000000000006,994
143.78999999999996,919
143.77999999999997,927
144.3699999999999,955
144.95000000000005,989
145.58999999999992,1048
146.18000000000006,951
146.76,956
146.76,947
147.3800000000001,978
148.02999999999997,925
148.67000000000007,972
149.24,1015
149.21000000000004,939
149.8599999999999,1011
150.49,954
151.07999999999993,971
151.69000000000005,970
152.26,922
152.26999999999998,1017
152.92000000000007,979
153.55999999999995,1024
154.1400000000001,1043
154.76,936
154.76,979
155.4000000000001,963
156.02999999999997,984
156.56999999999994,900
157.16000000000008,880
157.78999999999996,916
157.80999999999995,980
158.43000000000006,1015
159.01,959
159.57999999999993,1050
160.24,987
160.23000000000002,992
160.83999999999992,963
161.3900000000001,989
161.99,988
162.58999999999992,948
163.25,998
163.24,1007
163.80999999999995,976
164.4000000000001,990
165.03999999999996,1040
165.6199999999999,960
165.66000000000008,1056
166.22000000000003,1005
166.80999999999995,1007
167.46000000000004,976
168.05999999999995,901
168.6400000000001,927
168.68000000000006,959
169.21000000000004,1006
169.83999999999992,961
170.49,958
171.03999999999996,956
171.03999999999996,976
171.6500000000001,936
172.24,931
172.8900000000001,993
173.47000000000003,954
174.01999999999998,964
174.03999999999996,971
174.66000000000008,975
175.27999999999997,916
175.8800000000001,914
176.45000000000005,953
176.44000000000005,999
177.06999999999994,981
177.70000000000005,977
178.27999999999997,986
178.8499999999999,917
179.46000000000004,1040
179.48000000000002,971
180.1199999999999,977
180.67000000000007,1006
181.26,1014
181.8800000000001,987
181.8599999999999,958
182.5,992
183.08999999999992,1009
183.67000000000007,990
184.28999999999996,992
184.92000000000007,974
184.8800000000001,995
185.49,1008
